Материал,Качество,Название материала,Бердо,Плотность по утку,Склад,Завод,Вид движения,Партия,Количество,Базовая ЕИ,Дата проводки,Время ввода,Имя пользователя,Описание палитры,Вес план,Вес факт,Заказ,Номер линии,Номер станка
MU8674_CL63_019,MU,MADONNA 8674 CL63 300X700 R,32,240,7510,XIVA,101,51142,210.0,М2,2025-10-07,19:10:33,STOREKEEPER3,ZARA,23.63,0,100001263953,2,T02
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,52427,87.5,М2,2025-10-22,03:17:46,STOREKEEPER3,ZARA,9.84,0,100001274766,13,T13
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,52425,350.0,М2,2025-10-22,16:59:31,STOREKEEPER3,ZARA,9.84,0,100001274748,13,T13
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,51941,350.0,М2,2025-10-17,01:34:42,STOREKEEPER3,ZARA,9.84,0,100001270780,4,T04
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,51329,262.5,М2,2025-10-09,17:06:07,STOREKEEPER3,ZARA,9.84,0,100001265526,13,T13
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,51133,17.5,М2,2025-10-07,03:39:04,STOREKEEPER3,ZARA,9.85,0,100001263848,13,T13
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,51134,35.0,М2,2025-10-07,03:39:27,STOREKEEPER3,ZARA,9.84,0,100001263867,13,T13
MU8674_CL63_021,MU,MADONNA 8674 CL63 250X350 R,32,240,7510,XIVA,101,51134,210.0,М2,2025-10-07,03:39:42,STOREKEEPER3,ZARA,9.84,0,100001263871,13,T13
MU8674_CL63_118,MU,MADONNA 8674 CL63 350X550 R,32,240,7510,XIVA,101,50893,77.0,М2,2025-10-02,03:46:46,STOREKEEPER3,ZARA,21.66,0,100001261864,7,T07
MU8674_CL63_137,MU,MADONNA 8674 CL63 350X450 R,32,240,7510,XIVA,101,50893,63.0,М2,2025-10-02,03:47:02,STOREKEEPER3,ZARA,17.72,0,100001261865,7,T07
MU8674_CL63_191,MU,MADONNA 8674 CL63 320X600 R,32,240,7510,XIVA,101,51019,230.4,М2,2025-10-05,07:53:36,STOREKEEPER3,ZARA,21.6,0,100001262799,4,T04
MU8674_CL63_192,MU,MADONNA 8674 CL63 320X700 R,32,240,7510,XIVA,101,51021,89.6,М2,2025-10-05,07:53:30,STOREKEEPER3,ZARA,25.21,0,100001262803,4,T04
MU8674_CL63_192,MU,MADONNA 8674 CL63 320X700 R,32,240,7510,XIVA,101,51019,224.0,М2,2025-10-05,07:53:50,STOREKEEPER3,ZARA,25.21,0,100001262800,4,T04
MU8674_CL63_328,MU,MADONNA 8674 CL63 350X650 R,32,240,7510,XIVA,101,50893,91.0,М2,2025-10-02,03:47:17,STOREKEEPER3,ZARA,25.6,0,100001261866,7,T07
MU8674_CL63_340,MU,MADONNA 8674 CL63 350X750 R,32,240,7510,XIVA,101,50893,105.0,М2,2025-10-02,03:47:32,STOREKEEPER3,ZARA,29.54,0,100001261867,7,T07
MU8674_CL63_416,MU,MADONNA 8674 CL63 320X650 R,32,240,7510,XIVA,101,51018,41.6,М2,2025-10-04,13:08:24,STOREKEEPER3,ZARA,23.41,0,100001262797,4,T04
MU8674_CL63_590,MU,MADONNA 8674 CL63 320X750 R,32,240,7510,XIVA,101,51018,48.0,М2,2025-10-04,13:08:39,STOREKEEPER3,ZARA,27.01,0,100001262798,4,T04
MU8674_CL73_015,MU,MADONNA 8674 CL73 300X400 R,32,240,7510,XIVA,101,51141,48.0,М2,2025-10-06,23:52:15,STOREKEEPER3,ZARA,13.5,0,100001263948,2,T02
MU8674_CL73_016,MU,MADONNA 8674 CL73 300X500 R,32,240,7510,XIVA,101,51142,30.0,М2,2025-10-07,19:10:48,STOREKEEPER3,ZARA,16.88,0,100001263954,2,T02
MU8674_CL73_021,MU,MADONNA 8674 CL73 250X350 R,32,240,7510,XIVA,101,51134,87.5,М2,2025-10-07,03:38:56,STOREKEEPER3,ZARA,9.84,0,100001263859,13,T13
MU8674_CL73_191,MU,MADONNA 8674 CL73 320X600 R,32,240,7510,XIVA,101,51021,38.4,М2,2025-10-05,07:53:46,STOREKEEPER3,ZARA,21.61,0,100001262804,4,T04
MU8674_CL73_192,MU,MADONNA 8674 CL73 320X700 R,32,240,7510,XIVA,101,51021,134.4,М2,2025-10-05,07:54:01,STOREKEEPER3,ZARA,25.21,0,100001262805,4,T04
