kachestvo,kollection,plotnost_po_utku,pletenie,berdo
HL,SUPER ZAMARUT,550,1/2,400
HM,SHOHSEVAN,780,1/1,480
HN,TUMARIS,1000,1/2,1000
HO,BAMBUK NEW,800,1/2,400
HP,ALADDIN.,400,1/2,320
HQ,NURKENT,550,1/2,320
HR,KERVAN NEW,380,1/2,320
HS,POLYESTER CHUKMA,500,1/2,480
HT,KARMEN,440,1/2,400
HV,SHEHREZAT,1000,1/2,1000
HW,INCI,300,1/2,320
HX,SUPER GULISTON.,420,1/2,400
HY,QALA 2,250,1/2,320
HZ,KERVAN NEW 2,380,1/2,320
IA,EMIRKHAN,860,1/2,700
IB,KIRAZ KZ,440,1/2,400
IC,VERSACE,500,1/2,480
ID,SUPER IMPERIAL,440,1/2,400
IE,DESTAN NEW,860,1/2,700
IG,GLAMOUR,400,1/2,320
IH,MASHAD NEW,400,1/2,320
II,ZARA POLYESTER,380,1/2,320
IJ,FANTAZIA NEW,280,1/2,320
IK,SHAGGY PONTE,250,1/2,160
IL,PONTE ,300,1/2,160
IF,THERAPY ,750,1/2,480
AG,SUPER GULISTON ,420,1/2,400
IM,AFRUZ,650,1/2,400
IN,JOYNAMOZ AZERI,440,1/2,400
IO,DIAMOND,500,1/2,320
IR,MALDIVES,350,1/2,320
IQ,XAN ATLAS,350,1/2,320
IT,BALI USA,300,1/2,320
IU,DASTAN,650,1/2,400
IP,SHOXSULTON POLYESTER,780,1/1,480
IV,RODIN BCF.,400,1/2,320
IX,PRESTIGE POLYESTER,300,1/2,320
IW,MADONNA POLYESTER,260,1/2,320
FO,SHIRAZ PLUS,700,1/2,400
JA,MODERN,550,1/2,320
JD,SHAGGY TRIKOLOR,400,1/2,160
JF,TROYA GREY,500,1/1,480
IY,THERAPY.,850,1/2,480
JM,VERONA,400,1/2,320
EA,PANTERA,500,1/2,400
JB,AKTUEL,650,1/2,480
AT,FAINA,440,1/2,400
BG,KASHMIR BEST,440,1/2,400
BJ,DAISY,440,1/2,400
BL,SUPER SHAGGY,380,1/2,160
CH,REYHAN,380,1/2,320
DX,VELVET,440,1/2,400
EI,TURON,1000,1/2,1000
FV,SUPER QOLIN,650,1/2,400
GF,ABRISHAM,400,1/2,320
GV,BABY (70X70),860,1/2,700
IS,MADONNA,260,1/2,320
JC,SUPER HAQEQ,500,1/2,400
JI,SUPER BAHOR ,640,1/2,420
JJ,SILK,260,1/2,320
JH,CREANTE GREY,1000,1/2,1000
JG,TRESOR GREY,900,1/2,480
JP,APHRODITE,1000,1/2,1000
JS,VERONA.,400,1/2,320
JT,ALLADIN.,400,1/2,320
JR,ELECTRA,550,1/2,320
JY,ARABIK,780,1/2,480
JX,SAUVAGE,650,1/2,320
JZ,PRESTIGE,300,1/2,320
KA,LAUREN,380,1/2,320
KB,AVENTUS,550,1/2,400
KE,NOSTALJI POLYESTER,320,1/2,320
