data,zavod,stanok,pikseli
2024-07-01 00:00:00,XIVA,T06,2763163
2024-07-01 00:00:00,XIVA,T07,2346721
2024-07-01 00:00:00,XIVA,T08,3565969
2024-07-01 00:00:00,XIVA,T09,3862467
2024-07-01 00:00:00,XIVA,T10,3542952
2024-07-01 00:00:00,XIVA,T11,3526140
2024-07-01 00:00:00,XIVA,T12,4252489
2024-07-01 00:00:00,XIVA,T13,3093881
2024-07-01 00:00:00,XIVA,T14,3448746
2024-07-01 00:00:00,XIVA,T15,4707719
2024-07-01 00:00:00,XIVA,T16,3956445
2024-07-01 00:00:00,XIVA,T17,4563320
2024-07-01 00:00:00,XIVA,T18,3079693
2024-07-01 00:00:00,XIVA,T19,1554758
2024-08-01 00:00:00,ANTP,T01,3431663
2024-08-01 00:00:00,ANTP,T02,3818821
2024-08-01 00:00:00,ANTP,T03,3496498
2024-08-01 00:00:00,ANTP,T04,2439341
2024-08-01 00:00:00,ANTP,T05,3373938
2024-08-01 00:00:00,ANTP,T06,3269339
2024-08-01 00:00:00,ANTP,T07,2428600
2024-08-01 00:00:00,ANTP,T08,4508938
2024-08-01 00:00:00,ANTP,T09,4023812
2024-08-01 00:00:00,ANTP,T10,3541514
2024-08-01 00:00:00,ANTP,T11,3405676
2024-08-01 00:00:00,ANTP,T12,3801365
2024-08-01 00:00:00,ANTP,T13,195489
2024-08-01 00:00:00,ANTP,T14,3115984
2024-08-01 00:00:00,ANTP,T15,1627831
2024-08-01 00:00:00,ANTP,T16,1028929
2024-08-01 00:00:00,ANTP,T17,3457399
2024-08-01 00:00:00,ANTP,T18,2213730
2024-08-01 00:00:00,ANTP,T19,4458196
2024-08-01 00:00:00,ANTP,T20,1658845
2024-08-01 00:00:00,ANTP,T21,3326444
2024-08-01 00:00:00,ANTP,T22,4243953
2024-08-01 00:00:00,ANTP,T23,4131204
2024-08-01 00:00:00,ANTP,T24,2379831
2024-08-01 00:00:00,ANTP,T25,0
2024-08-01 00:00:00,ANTP,T26,1739420
2024-08-01 00:00:00,ANTP,T27,1353403
