Серия,Имя коллекции,Имя коллекции.1,Бедро,Размер,Ширина,Длина,Тип изделия,Цвет,ID (на сайте),Склад,Склад.1,Себестоимость,Начальный остаток,Приход,Расход,Конечный остаток,Начальный остаток м2,Приход м2,Расход м2,Конечный остаток м2
14255442,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Nukus,Магазин Нукус,39.0,1.0,,,1.0,3.0,,,3.0
14264821,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,75.27,1.93,,,1.93,5.79,,,5.79
14295592,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Xiva,Магазин Хива,584.64,16.24,,,16.24,48.72,,,48.72
14295613,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Urganch,Магазин Урганч,122.76,3.41,,,3.41,10.23,,,10.23
14322328,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,85.8,2.2,,,2.2,6.6,,,6.6
14356908,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,1.95,0.05,,,0.05,0.15,,,0.15
14356923,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,88.53,2.27,,,2.27,6.81,,,6.81
14361190,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,335.4,8.6,,,8.6,25.8,,,25.8
14361553,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,437.58,11.22,,,11.22,33.66,,,33.66
14388515,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress1,Магазин Самарканд,58.5,1.5,,,1.5,4.5,,,4.5
14388536,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,SamExpress2,Магазин Самарканд,986.7,25.3,,,25.3,75.9,,,75.9
14144822,IRANI,IRANI,48,250X2500,250,2500,Метражный,22,NK9973_DE22_184,Magazin Nukus,Магазин Нукус,42.25,1.3,,,1.3,3.25,,,3.25
14144831,IRANI,IRANI,48,250X2500,250,2500,Метражный,22,NK9973_DE22_184,Magazin Nukus,Магазин Нукус,196.3,11.0,,4.96,6.04,27.5,,12.4,15.1
14052607,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Urganch,Магазин Урганч,88.2,2.1,,,2.1,7.35,,,7.35
14052645,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Urganch,Магазин Урганч,151.2,3.6,,,3.6,12.6,,,12.6
14094566,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,SamExpress1,Магазин Самарканд,38.68,0.85,,,0.85,2.975,,,2.975
14094574,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,SamExpress1,Магазин Самарканд,95.55,2.1,,,2.1,7.35,,,7.35
14138296,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Nukus,Магазин Нукус,86.45,1.9,,,1.9,6.65,,,6.65
14138621,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Nukus,Магазин Нукус,3.19,0.07,,,0.07,0.245,,,0.245
14161217,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Urganch,Магазин Урганч,132.72,3.16,,,3.16,11.06,,,11.06
14161363,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Urganch,Магазин Урганч,138.6,3.3,,,3.3,11.55,,,11.55
14232077,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Xiva,Магазин Хива,96.92,2.13,,,2.13,7.455,,,7.455
14233148,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9973_DE22_188,Magazin Xiva,Магазин Хива,75.08,1.65,,,1.65,5.775,,,5.775
14252935,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9974_DE21_105,Magazin Toshkent (Qushbegi),Магазин Тошкент (Кушбеги),358.8,9.2,,,9.2,27.6,,,27.6
14339155,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9974_DE22_105,Magazin Jizzax,Магазин Жиззах,982.8,25.2,,,25.2,75.6,,,75.6
14339179,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9974_DE22_105,Magazin Jizzax,Магазин Жиззах,986.7,25.3,,,25.3,75.9,,,75.9
14094559,IRANI,IRANI,48,400X2500,400,2500,Метражный,26,NK9976_DE26_104,SamExpress1,Магазин Самарканд,15.6,0.3,,,0.3,1.2,,,1.2
14094572,IRANI,IRANI,48,400X2500,400,2500,Метражный,26,NK9976_DE26_104,SamExpress1,Магазин Самарканд,98.8,1.9,,,1.9,7.6,,,7.6
14252936,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,Magazin Toshkent (Qushbegi),Магазин Тошкент (Кушбеги),206.31,5.29,,,5.29,15.87,,,15.87
14264814,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,48.36,1.24,,,1.24,3.72,,,3.72
14264819,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,72.15,1.85,,,1.85,5.55,,,5.55
14322301,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,386.1,9.9,,,9.9,29.7,,,29.7
14322324,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,54.6,1.4,,,1.4,4.2,,,4.2
14356906,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,17.55,0.45,,,0.45,1.35,,,1.35
14356916,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress2,Магазин Самарканд,990.6,25.4,,,25.4,76.2,,,76.2
14388517,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress1,Магазин Самарканд,39.0,1.0,,,1.0,3.0,,,3.0
14388535,IRANI,IRANI,48,300X2500,300,2500,Метражный,26,NK9976_DE26_105,SamExpress2,Магазин Самарканд,978.9,25.1,,,25.1,75.3,,,75.3
14097028,IRANI,IRANI,48,350X2500,350,2500,Метражный,26,NK9976_DE26_188,SamExpress1,Магазин Самарканд,4.55,0.1,,,0.1,0.35,,,0.35
